ID,alpha,beta,n_simulation,initial_value,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode,Q1,Q3
106.0,1.0,1.05,100.0,400,0.0,48.0,25.0,9.0,9.0,6.0,1.0,2.0,0.0,3.11,3.0,2.0,2.0,4.0
106.0,1.0,1.05,100.0,500,0.0,54.0,23.0,9.0,7.0,2.0,2.0,3.0,0.0,2.98,2.0,2.0,2.0,3.0
106.0,1.0,1.05,100.0,600,0.0,53.0,29.0,11.0,1.0,2.0,3.0,1.0,0.0,2.83,2.0,2.0,2.0,3.0
106.0,1.0,1.05,100.0,700,0.0,46.0,31.0,11.0,6.0,2.0,2.0,2.0,0.0,3.01,3.0,2.0,2.0,3.0
107.0,1.0,1.1,100.0,200,25.0,35.0,18.0,14.0,3.0,0.0,1.0,4.0,0.0,2.59,2.0,2.0,1.75,3.0
107.0,1.0,1.1,100.0,300,24.0,34.0,21.0,8.0,7.0,2.0,2.0,2.0,0.0,2.64,2.0,2.0,2.0,3.0
107.0,1.0,1.1,100.0,400,27.0,30.0,19.0,13.0,4.0,2.0,2.0,3.0,0.0,2.66,2.0,2.0,1.0,3.0
107.0,1.0,1.1,100.0,500,18.0,39.0,20.0,9.0,5.0,5.0,1.0,3.0,0.0,2.78,2.0,2.0,2.0,3.0
107.0,1.0,1.1,100.0,600,28.0,40.0,18.0,7.0,1.0,2.0,2.0,2.0,0.0,2.37,2.0,2.0,1.0,3.0
107.0,1.0,1.1,100.0,700,15.0,47.0,18.0,10.0,3.0,4.0,1.0,2.0,0.0,2.65,2.0,2.0,2.0,3.0
108.0,1.0,1.15,100.0,200,27.0,34.0,18.0,11.0,4.0,4.0,0.0,2.0,0.0,2.53,2.0,2.0,1.0,3.0
108.0,1.0,1.15,100.0,300,25.0,34.0,20.0,10.0,5.0,3.0,0.0,3.0,0.0,2.6,2.0,2.0,1.75,3.0
108.0,1.0,1.15,100.0,400,25.0,36.0,18.0,9.0,3.0,2.0,0.0,7.0,0.0,2.7,2.0,2.0,1.75,3.0
108.0,1.0,1.15,100.0,500,31.0,36.0,19.0,5.0,2.0,6.0,0.0,1.0,0.0,2.34,2.0,2.0,1.0,3.0
108.0,1.0,1.15,100.0,600,19.0,27.0,27.0,10.0,9.0,3.0,2.0,3.0,0.0,2.95,3.0,2.0,2.0,4.0
108.0,1.0,1.15,100.0,700,22.0,40.0,21.0,8.0,4.0,1.0,1.0,3.0,0.0,2.54,2.0,2.0,2.0,3.0
109.0,1.05,0.9,100.0,200,0.0,33.0,13.0,25.0,13.0,7.0,4.0,5.0,0.0,3.8,4.0,2.0,2.0,5.0
109.0,1.05,0.9,100.0,300,0.0,21.0,17.0,30.0,18.0,9.0,2.0,3.0,0.0,3.95,4.0,4.0,3.0,5.0
109.0,1.05,0.9,100.0,400,0.0,26.0,21.0,27.0,14.0,9.0,2.0,1.0,0.0,3.69,4.0,4.0,2.0,5.0
109.0,1.05,0.9,100.0,500,0.0,23.0,19.0,34.0,6.0,5.0,3.0,10.0,0.0,4.0,4.0,4.0,3.0,4.0
109.0,1.05,0.9,100.0,600,0.0,27.0,31.0,29.0,5.0,4.0,2.0,2.0,0.0,3.42,3.0,3.0,2.0,4.0
109.0,1.05,0.9,100.0,700,0.0,24.0,36.0,21.0,12.0,4.0,1.0,2.0,0.0,3.47,3.0,3.0,3.0,4.0
110.0,1.05,0.95,100.0,200,0.0,26.0,32.0,25.0,8.0,4.0,1.0,4.0,0.0,3.51,3.0,3.0,2.0,4.0
110.0,1.05,0.95,100.0,300,0.0,22.0,39.0,21.0,12.0,4.0,2.0,0.0,0.0,3.43,3.0,3.0,3.0,4.0
110.0,1.05,0.95,100.0,400,0.0,26.0,33.0,21.0,6.0,10.0,2.0,2.0,0.0,3.55,3.0,3.0,2.0,4.0
110.0,1.05,0.95,100.0,500,0.0,28.0,36.0,18.0,7.0,10.0,0.0,1.0,0.0,3.39,3.0,3.0,2.0,4.0
110.0,1.05,0.95,100.0,600,0.0,22.0,42.0,16.0,11.0,4.0,2.0,3.0,0.0,3.51,3.0,3.0,3.0,4.0
110.0,1.05,0.95,100.0,700,0.0,27.0,28.0,28.0,9.0,8.0,0.0,0.0,0.0,3.43,3.0,3.0,2.0,4.0
11.0,0.2,0.3,100.0,500,0.0,11.0,43.0,26.0,13.0,3.0,0.0,4.0,0.0,3.7,3.0,3.0,3.0,4.0
11.0,0.2,0.3,100.0,600,0.0,14.0,39.0,21.0,14.0,8.0,3.0,1.0,0.0,3.76,3.0,3.0,3.0,5.0
11.0,0.2,0.3,100.0,700,0.0,10.0,40.0,25.0,9.0,7.0,3.0,6.0,0.0,3.96,3.5,3.0,3.0,4.25
111.0,1.05,1.0,100.0,200,0.0,23.0,34.0,20.0,12.0,5.0,3.0,3.0,0.0,3.63,3.0,3.0,3.0,4.0
111.0,1.05,1.0,100.0,300,0.0,22.0,36.0,20.0,11.0,4.0,2.0,5.0,0.0,3.65,3.0,3.0,3.0,4.0
111.0,1.05,1.0,100.0,400,0.0,24.0,35.0,18.0,14.0,4.0,2.0,3.0,0.0,3.57,3.0,3.0,3.0,4.0
111.0,1.05,1.0,100.0,500,0.0,18.0,38.0,18.0,14.0,9.0,3.0,0.0,0.0,3.67,3.0,3.0,3.0,5.0
111.0,1.05,1.0,100.0,600,0.0,29.0,36.0,15.0,10.0,6.0,1.0,3.0,0.0,3.43,3.0,3.0,2.0,4.0
111.0,1.05,1.0,100.0,700,0.0,21.0,46.0,15.0,8.0,8.0,1.0,1.0,0.0,3.43,3.0,3.0,3.0,4.0
112.0,1.05,1.1,100.0,200,26.0,36.0,15.0,10.0,9.0,3.0,1.0,0.0,0.0,2.53,2.0,2.0,1.0,3.0
112.0,1.05,1.1,100.0,300,30.0,27.0,20.0,9.0,5.0,4.0,2.0,3.0,0.0,2.67,2.0,1.0,1.0,3.0
112.0,1.05,1.1,100.0,400,36.0,37.0,9.0,9.0,6.0,2.0,0.0,1.0,0.0,2.23,2.0,2.0,1.0,3.0
112.0,1.05,1.1,100.0,500,22.0,38.0,23.0,7.0,6.0,2.0,0.0,2.0,0.0,2.53,2.0,2.0,2.0,3.0
112.0,1.05,1.1,100.0,600,0.0,54.0,25.0,11.0,7.0,1.0,1.0,1.0,0.0,2.83,2.0,2.0,2.0,3.0
112.0,1.05,1.1,100.0,700,0.0,48.0,21.0,16.0,7.0,5.0,1.0,2.0,0.0,3.11,3.0,2.0,2.0,4.0
113.0,1.05,1.15,100.0,200,24.0,43.0,19.0,4.0,8.0,1.0,0.0,1.0,0.0,2.37,2.0,2.0,2.0,3.0
113.0,1.05,1.15,100.0,300,31.0,39.0,16.0,9.0,3.0,2.0,0.0,0.0,0.0,2.2,2.0,2.0,1.0,3.0
113.0,1.05,1.15,100.0,400,18.0,42.0,27.0,7.0,3.0,1.0,2.0,0.0,0.0,2.46,2.0,2.0,2.0,3.0
113.0,1.05,1.15,100.0,500,29.0,35.0,15.0,7.0,8.0,6.0,0.0,0.0,0.0,2.48,2.0,2.0,1.0,3.0
113.0,1.05,1.15,100.0,600,24.0,32.0,27.0,10.0,3.0,2.0,0.0,2.0,0.0,2.52,2.0,2.0,2.0,3.0
113.0,1.05,1.15,100.0,700,31.0,34.0,12.0,12.0,5.0,3.0,1.0,2.0,0.0,2.49,2.0,2.0,1.0,3.0
114.0,1.05,1.2,100.0,200,29.0,41.0,13.0,12.0,3.0,0.0,2.0,0.0,0.0,2.27,2.0,2.0,1.0,3.0
114.0,1.05,1.2,100.0,300,23.0,38.0,25.0,4.0,8.0,1.0,1.0,0.0,0.0,2.43,2.0,2.0,2.0,3.0
114.0,1.05,1.2,100.0,400,23.0,43.0,16.0,10.0,4.0,3.0,0.0,1.0,0.0,2.43,2.0,2.0,2.0,3.0
114.0,1.05,1.2,100.0,500,25.0,38.0,18.0,9.0,3.0,3.0,2.0,2.0,0.0,2.54,2.0,2.0,1.75,3.0
114.0,1.05,1.2,100.0,600,22.0,45.0,17.0,10.0,3.0,3.0,0.0,0.0,0.0,2.36,2.0,2.0,2.0,3.0
114.0,1.05,1.2,100.0,700,30.0,38.0,17.0,10.0,3.0,1.0,1.0,0.0,0.0,2.25,2.0,2.0,1.0,3.0
115.0,1.1,0.95,100.0,200,0.0,27.0,14.0,27.0,15.0,11.0,2.0,4.0,0.0,3.91,4.0,2.0,2.0,5.0
