ID,alpha,beta,n_simulation,initial_value,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode,Q1,Q3
213,0.65,0.7,100,300,0,30,44,16,4,1,4,1,0,3.18,3,3,2,4
214,0.65,0.7,100,400,0,26,29,24,8,4,4,5,0,3.67,3,3,2,4
215,0.65,0.7,100,500,0,25,43,18,7,3,2,2,0,3.34,3,3,2.75,4
216,0.65,0.7,100,600,0,26,33,18,15,4,2,2,0,3.52,3,3,2,4
217,0.65,0.7,100,700,0,29,25,23,9,7,4,3,0,3.64,3,2,2,4
218,0.65,0.75,100,200,0,56,24,11,4,4,1,0,0,2.79,2,2,2,3
219,0.65,0.75,100,300,0,35,33,22,2,3,2,3,0,3.23,3,2,2,4
220,0.65,0.75,100,400,0,41,31,15,5,2,3,3,0,3.17,3,2,2,4
221,0.65,0.75,100,500,0,25,44,16,8,2,2,3,0,3.36,3,3,2.75,4
222,0.65,0.75,100,600,0,19,40,21,7,7,3,3,0,3.64,3,3,3,4
223,0.65,0.75,100,700,0,21,39,21,8,6,3,2,0,3.56,3,3,3,4
224,0.65,0.8,100,200,0,39,31,13,10,4,1,2,0,3.2,3,2,2,4
225,0.65,0.8,100,300,0,51,28,10,6,2,3,0,0,2.89,2,2,2,3
226,0.65,0.8,100,400,0,51,24,18,2,3,0,2,0,2.9,2,2,2,3.25
227,0.65,0.8,100,500,0,55,24,11,6,2,2,0,0,2.82,2,2,2,3
228,0.65,0.8,100,600,0,50,32,5,7,5,1,0,0,2.88,2.5,2,2,3
229,0.65,0.8,100,700,0,47,27,9,12,3,1,1,0,3.04,3,2,2,4
230,0.7,0.55,100,200,0,0,25,12,17,18,5,7,0,4.845238095,5,3,3,6
231,0.7,0.55,100,300,0,0,21,35,22,11,4,3,0,4.489583333,4,4,4,5
232,0.7,0.55,100,400,0,0,24,35,18,13,4,6,0,4.56,4,4,4,5
233,0.7,0.55,100,500,0,0,26,36,16,11,6,5,0,4.5,4,4,3,5
234,0.7,0.55,100,600,0,0,26,37,21,7,6,3,0,4.39,4,4,3,5
235,0.7,0.55,100,700,0,0,31,26,23,9,6,5,0,4.48,4,3,3,5
236,0.7,0.6,100,200,0,0,28,34,17,14,3,4,0,4.42,4,4,3,5
237,0.7,0.6,100,300,0,0,26,34,20,10,4,6,0,4.5,4,4,3,5
238,0.7,0.6,100,400,0,0,25,38,15,12,4,6,0,4.5,4,4,3.75,5
239,0.7,0.6,100,500,0,0,24,45,17,8,2,4,0,4.31,4,4,4,5
240,0.7,0.6,100,600,0,0,25,39,21,8,1,6,0,4.39,4,4,3.75,5
241,0.7,0.6,100,700,0,0,21,38,21,10,4,6,0,4.56,4,4,4,5
242,0.7,0.65,100,200,0,19,3,35,23,10,4,6,0,4.38,4,4,4,5
243,0.7,0.65,100,300,0,27,29,20,13,5,2,4,0,3.62,3,3,2,4
244,0.7,0.65,100,400,0,21,22,35,11,5,5,1,0,3.76,4,4,3,4
245,0.7,0.65,100,500,0,22,27,25,11,11,1,3,0,3.77,4,3,3,5
246,0.7,0.65,100,600,0,26,30,18,17,6,0,3,0,3.59,3,3,2,5
247,0.7,0.65,100,700,0,23,37,21,14,2,1,2,0,3.46,3,3,3,4
248,0.7,0.75,100,200,0,30,36,17,7,7,2,1,0,3.35,3,3,2,4
249,0.7,0.75,100,300,0,21,39,14,14,9,1,2,0,3.62,3,3,3,5
250,0.7,0.75,100,400,0,29,33,22,7,5,1,3,0,3.41,3,3,2,4
251,0.7,0.75,100,500,0,27,40,16,9,5,1,2,0,3.36,3,3,2,4
252,0.7,0.75,100,600,0,24,32,20,14,6,2,2,0,3.6,3,3,3,4
253,0.7,0.75,100,700,0,24,40,24,5,5,1,1,0,3.34,3,3,3,4
254,0.7,0.8,100,200,0,46,28,11,9,3,2,1,0,3.05,3,2,2,4
255,0.7,0.8,100,300,0,54,24,10,5,5,2,0,0,2.89,2,2,2,3
256,0.7,0.8,100,400,0,36,31,10,10,6,5,2,0,3.42,3,2,2,4
257,0.7,0.8,100,500,0,33,44,10,8,2,2,1,0,3.12,3,3,2,3
258,0.7,0.8,100,600,0,46,27,14,7,2,1,3,0,3.07,3,2,2,4
259,0.7,0.8,100,700,0,27,33,12,13,7,2,6,0,3.7,3,3,2,5
260,0.7,0.85,100,200,0,45,25,13,10,4,2,1,0,3.13,3,2,2,4
261,0.7,0.85,100,300,0,56,20,14,3,4,2,1,0,2.89,2,2,2,3
262,0.7,0.85,100,400,0,55,25,11,5,3,1,0,0,2.79,2,2,2,3
263,0.7,0.85,100,500,0,59,20,7,5,5,4,0,0,2.89,2,2,2,3
264,0.7,0.85,100,600,0,47,27,13,6,3,2,2,0,3.05,3,2,2,4
265,0.7,0.85,100,700,0,47,22,21,4,1,1,4,0,3.09,3,2,2,4
266,0.75,0.6,100,200,0,0,27,17,19,14,8,9,0,4.85106383,5,3,3,6
267,0.75,0.6,100,300,0,0,29,35,16,10,5,5,0,4.42,4,4,3,5
268,0.75,0.6,100,400,0,0,26,38,14,11,5,6,0,4.49,4,4,3,5
269,0.75,0.6,100,500,0,0,27,34,21,9,3,6,0,4.45,4,4,3,5
270,0.75,0.6,100,600,0,0,18,36,23,9,7,7,0,4.72,4,4,4,5
271,0.75,0.6,100,700,0,0,22,32,21,16,3,6,0,4.64,4,4,4,5.25
272,0.75,0.65,100,200,0,0,22,42,22,9,2,3,0,4.36,4,4,4,5
273,0.75,0.65,100,300,0,0,25,41,16,11,3,4,0,4.38,4,4,3.75,5
274,0.75,0.65,100,400,0,9,17,32,17,12,4,9,0,4.54,4,4,3,5.25
275,0.75,0.65,100,500,0,16,16,36,17,10,1,4,0,4.08,4,4,3,5
276,0.75,0.65,100,600,0,15,14,36,19,6,4,6,0,4.23,4,4,3,5
277,0.75,0.65,100,700,0,21,12,32,20,11,3,1,0,4.01,4,4,3,5
278,0.75,0.7,100,200,0,24,34,19,12,6,3,2,0,3.59,3,3,3,4
279,0.75,0.7,100,300,0,18,33,26,11,6,4,2,0,3.74,3,3,3,4
280,0.75,0.7,100,400,0,18,36,23,12,6,1,4,0,3.71,3,3,3,4
281,0.75,0.7,100,500,0,27,36,18,9,5,4,1,0,3.45,3,3,2,4
282,0.75,0.7,100,600,0,32,36,15,7,5,2,3,0,3.35,3,3,2,4
283,0.75,0.7,100,700,0,25,37,13,9,9,3,4,0,3.65,3,3,2.75,4.25
284,0.75,0.8,100,200,0,21,33,20,14,7,3,2,0,3.7,3,3,3,5
285,0.75,0.8,100,300,0,19,46,16,12,1,2,4,0,3.52,3,3,3,4
286,0.75,0.8,100,400,0,26,38,20,7,5,3,1,0,3.4,3,3,2,4
287,0.75,0.8,100,500,0,30,33,17,10,5,1,4,0,3.46,3,3,2,4
288,0.75,0.8,100,600,0,28,24,21,16,6,2,3,0,3.66,3,2,2,5
289,0.75,0.8,100,700,0,20,38,17,11,6,1,7,0,3.76,3,3,3,4.25
290,0.75,0.85,100,200,0,44,20,20,12,3,1,0,0,3.13,3,2,2,4
291,0.75,0.85,100,300,0,48,29,11,4,5,1,2,0,3,3,2,2,3
292,0.75,0.85,100,400,0,54,18,16,4,4,2,2,0,3,2,2,2,4
293,0.75,0.85,100,500,0,41,29,22,5,2,1,0,0,3.01,3,2,2,4
294,0.75,0.85,100,600,0,38,29,21,5,4,1,2,0,3.19,3,2,2,4
295,0.75,0.85,100,700,0,46,23,17,6,6,1,1,0,3.1,3,2,2,4
296,0.75,0.9,100,200,0,53,28,12,6,1,0,0,0,2.74,2,2,2,3
297,0.75,0.9,100,300,0,50,20,11,9,3,3,4,0,3.2,2.5,2,2,4
298,0.75,0.9,100,400,0,46,31,11,6,5,1,0,0,2.96,3,2,2,3
299,0.75,0.9,100,500,0,53,22,11,4,7,0,3,0,3.02,2,2,2,3.25
300,0.75,0.9,100,600,0,48,24,17,7,1,1,2,0,3,3,2,2,4
301,0.75,0.9,100,700,0,54,18,17,5,3,1,2,0,2.96,2,2,2,4
302,0.8,0.65,100,200,0,0,26,30,26,11,3,4,0,4.47,4,4,3,5
303,0.8,0.65,100,300,0,0,34,29,18,7,7,5,0,4.39,4,3,3,5
304,0.8,0.65,100,400,0,0,27,35,17,8,4,9,0,4.54,4,4,3,5
305,0.8,0.65,100,500,0,0,28,31,18,9,7,7,0,4.57,4,4,3,5
306,0.8,0.65,100,600,0,0,19,39,24,8,5,5,0,4.56,4,4,4,5
307,0.8,0.65,100,700,0,0,27,31,24,11,3,4,0,4.44,4,4,3,5
308,0.8,0.7,100,200,0,12,21,33,22,5,3,4,0,4.12,4,4,3,5
